                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.24688,                 1.0597,                 1.0565,                0.60365,                0.72814,                0.71906,                0.63266,                 0.4616,                0.88838,                 0.8987,             0.00038507,             0.00038507,             0.00038507
                     36,                0.23914,                 1.0392,                 1.0502,                0.60513,                0.75553,                0.72168,                0.63276,                0.40726,                0.89777,                0.84075,             0.00036307,             0.00036307,             0.00036307
                     37,                0.23814,                 1.0364,                 1.0476,                0.63027,                0.71081,                0.71601,                0.63516,                0.42946,                0.90629,                0.85603,             0.00034108,             0.00034108,             0.00034108
                     38,                0.23556,                 1.0258,                 1.0432,                0.59056,                0.74624,                0.71511,                0.62803,                0.48905,                0.94619,                0.92054,             0.00031908,             0.00031908,             0.00031908
                     39,                0.23271,                 1.0156,                 1.0412,                0.64789,                0.70642,                0.72214,                0.63715,                0.45534,                0.90142,                0.89798,             0.00029708,             0.00029708,             0.00029708
                     40,                0.23259,                 1.0125,                 1.0414,                0.60062,                0.74996,                0.71995,                0.63686,                0.45673,                 0.9143,                 0.8817,             0.00027508,             0.00027508,             0.00027508
                     41,                0.25133,                0.71103,                 1.1644,                0.60884,                0.72437,                0.72299,                0.63891,                0.44447,                 0.8609,                0.88773,             0.00025309,             0.00025309,             0.00025309
                     42,                0.24139,                0.68615,                 1.1597,                0.63166,                0.72402,                0.72307,                0.64035,                0.45406,                0.90405,                0.89676,             0.00023109,             0.00023109,             0.00023109
                     43,                0.24201,                0.66183,                 1.1577,                0.63083,                0.72502,                0.73221,                 0.6519,                0.42941,                0.88466,                0.87882,             0.00020909,             0.00020909,             0.00020909
                     44,                0.23905,                0.63081,                 1.1455,                0.64684,                0.70728,                0.72989,                0.64941,                0.44436,                0.87533,                0.88354,             0.00018709,             0.00018709,             0.00018709
                     45,                0.23114,                0.59385,                 1.1404,                0.64914,                0.71225,                0.73364,                0.65073,                0.44892,                0.89252,                0.89402,             0.00016509,             0.00016509,             0.00016509
                     46,                0.23351,                0.58167,                 1.1474,                 0.6663,                 0.7023,                0.73254,                0.65216,                0.42329,                0.92493,                0.86981,              0.0001431,              0.0001431,              0.0001431
                     47,                0.22957,                0.55801,                 1.1385,                0.66789,                0.69038,                0.73199,                 0.6529,                0.43479,                0.91903,                0.87551,              0.0001211,              0.0001211,              0.0001211
                     48,                0.22915,                0.53584,                 1.1349,                0.64105,                0.72825,                0.73171,                0.65355,                 0.4301,                0.93736,                0.87429,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.22274,                0.51812,                 1.1301,                0.65289,                 0.7087,                0.72888,                0.65214,                0.43541,                0.94052,                 0.8794,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.21711,                0.49228,                 1.1264,                0.63262,                0.72386,                 0.7286,                0.65315,                0.43684,                 0.9519,                0.88542,             5.5106e-05,             5.5106e-05,             5.5106e-05
